state,Amplitude-py,Phase-py,Amplitude-math,Phase-math,%dif amplitude
'000',0.999443830800614,0,0.999344,0,0.00998863543272032
'002',0.0180289825287702,-3.02625197361801,0.0180428,1.45542,0.0766403273601619
'004',0.000398497448788406,0.230652752572886,0.000398706,2.91083,0.052334390653677
'011',0.0093736363914252,-2.3561944976968,0.00938271,-2.35619,0.0967992377333981
'013',0.000292947626555855,0.900898644514466,0.000293219,-0.900779,0.0926354814119307
'020',0.0163695560555903,1.31449627752035,0.0163812,-2.88519,0.0711317055276728
'022',0.000208656193895713,-1.77098609333772,0.000208768,-1.37047,0.0535838894593285
'031',0.000265984220919184,-1.04173576876337,0.000266216,1.0418,0.0871401619295515
'040',0.000328490175189778,2.62907724800608,0.000328652,0.51281,0.0492632116404726
'101',0.00414922230441417,-0.78552180935496,0.00415435,-0.785398,0.123582088633209
'103',0.000129640685484528,2.47154724893014,0.000129828,0.000169361,0.144487446030089
'110',0.0093736363914252,-2.3561944976968,,,
'112',0.000141664712432612,1.20994353062109,0.000141801,-1.21041,0.0962043158441758
'121',0.000169093246466872,1.21623206698365,0.000169361,1.92506,0.158346674821789
'130',0.000265984220919184,-1.04173576876337,,,
'200',0.0180289825287702,-3.02625197361801,,,
'202',0.000321719259143173,0.178494667375174,0.000322034,2.96303,0.0978309031497735
'211',0.000141664712432612,1.20994353062109,,,
'220',0.000208656193895713,-1.77098609333772,,,
'301',0.000129640685484528,2.47154724893014,,,
'310',0.000292947626555855,0.900898644514466,,,
'400',0.000398497448788406,0.230652752572886,,,
,,,,,
,,,,,
,Parameters mathematica,Parameters python,,,
,g=10,,,,
,Beta = Sqrt(0.005),,,,
,Eta = g*beta,,,,
,C0=30,,,,
,Alfa = c0*0.020,,,,
,phi a = 0,Phi1 = 5pi/2 = phi3,,,
,phi b = pi/2,,,,
